text,label,label_id,pred_label,pred_label_id,prob_negative,prob_positive,confidence,error_type,note
This is definitely one of the best Kung fu movies in the history of Cinema. The screenplay is really well done (which is not often the case for this type of movies) and you can see that Chuck (in one of his first role)is a great actor. The final fight with the sherif deputy in the bullring is a masterpiece!,negative,0,positive,1,0.00020163608132861555,0.9997983574867249,0.9997983574867249,false_positive,
"This movie was pure genius. John Waters is brilliant. It is hilarious and I am not sick of it even after seeing it about 20 times since I bought it a few months ago. The acting is great, although Ricki Lake could have been better. And Johnny Depp is magnificent. He is such a beautiful man and a very talented actor. And seeing most of Johnny's movies, this is probably my favorite. I give it 9.5/10. Rent it today!",negative,0,positive,1,0.00023653848620597273,0.9997634291648865,0.9997634291648865,false_positive,
"Given this film's incredible reviews I was expecting something truly exceptional. It certainly starts well with witty and sharp dialogue, and a fine cast in place. A series of Robert Altman-style interwoven stories reel the viewer in with some compelling scenes. I found it gripping entertainment right through to the second half of the film when sadly, it collapses like a pack of cards. A series of ludicrous coincidences and right-on messages stack up until I'm left deeply disappointed and wondering what all the fuss is about. Paul Haggis has tackled the subject of race in LA, and that alone seems to have elevated this movie to a new level of interest. Given that most of the Academy voters live in LA and have experienced racism to some extent, this film is sure to have an impact on them. That means the Oscar for Best Picture will go to the race movie or the gay movie. Let's hope it is the latter, because Brokeback Mountain is a bona fide masterpiece that deserves recognition.",negative,0,positive,1,0.0002691417757887393,0.9997308850288391,0.9997308850288391,false_positive,
"It's not Citizen Kane, but it does deliver. Cleavage, and lots of it.<br /><br />Badly acted and directed, poorly scripted. Who cares? I didn't watch it for the dialog.",positive,1,negative,0,0.9996718168258667,0.00032817633473314345,0.9996718168258667,false_negative,
"Brain of Blood starts as Abdul Amir (Reed Hadley) the leader of a country called Kahlid is close to death because of cancer, however if he dies Kahlid will tear itself apart without anyone to lead them so doctor Robert Nigserian (Grant Williams) & one of Amir's devotees Mohammed (Zandor Vorkov) have devised a plan to take Amir's dead body to America where mad scientist Dr. Lloyd Trenton (Kent Taylor) will transplant his brain into a fresh body & with a bit of plastic surgery no-one will ever know he was even dead. Things don't go according to plan though as when the time comes to transplant Amir's brain Trenton's freak assistant Gor (John Bloom) brings a dead body of someone that fell from a balcony, Trenton needed a strong fit living body & since there's no more time he decides to use Gor's body as a temporary stop-gap until another more suitable one can be found. Unfortunately when Amir wakes up in his new body he's not very happy at what he sees, I mean would you be if you found out your brain was inside a badly burned freak?<br /><br />Also known as Brain Damage, The Brain, The Creature's Revenege & The Undying Brain this cheapo exploitation flick was produced & directed by the one & only Al Adamason & quite frankly I'm offended at the pathetic 1.5 rating Brain of Blood has on the IMDb, personally I think it's terrific fun in a so bad it's good sort of way. The highly entertaining script by Kane W. Lynn & Joe Van Rodgers is as loopy & silly as they come from sloppy blood soaked brain transplants to crazed mad scientists, from 7 foot tall acid scarred freaks who play with toy cars to 4 foot tall midget medical assistant's, from basement dungeons to rooftop chases, from car crashes to assassination's, kidnaps to screaming scantily clad women, from Regina Carrol's hair-do which should get it's own mention during the opening credits to teenage girls imprisoned in the basement for blood to a laugh-out-loud hilarious ending which includes some deep meaningful speech! It's all here & Brain of Blood has quality cheese stamped all over it, if your a fan of bad low budget exploitation flicks with a sense of fun then this film should be right at the top of your list of 'must see' films. Despite it's lowly 1.5 rating I am proud to admit that I liked Brain of Blood a lot, I thought it was an absolute hoot to watch, it slows down a bit at the end with a few too many shots of people wandering around doing nothing in particular but until that point it had moved along like a rocket, at only 85 minutes it's relatively short, it's difficult to second guess the barmy plot & I just think it's loads of campy fun.<br /><br />This is director Adamson's masterpiece as far as I'm concerned along with Dracula vs. Frankenstein (1971) which he made a year before this. Those who have seen an Adamson film before will know about the none existent production values, cheap special effects & cardboard sets & that all adds to the fun, this film manages that fine between incompetence & seriousness to create a memorable viewing experience. I love the opening shot of Kahlid which is obviously just a photo of the Taj Mahal in India complete with statuesque people in the foreground! Regina Carrol's hair seems to be a separate entity on it's own, it seems to change styles between shots & is frankly horrendous, don't get me started about her make-up job either that she must apply with a a paint sprayer! There is another hilarious moment when we see Amir's body has been transported to America wrapped in what looks like ordinary tin foil, why is the question I asked myself, why!? The effects are variable, there's a terrible looking fake spider, Gor's burned make-up job is pretty bad although there is a surprisingly gory brain removal which is actually quite impressive.<br /><br />The budget for Brain of Blood must have been practically none existent, I must admit I thought Trenton's lab was quite good with various computers & medical instruments although the rest of the film looks cheap & nasty. The production values are low, the music was taken from another film Beast of Blood (1971) & the acting is awful but in a campy fun sort of way.<br /><br />Brain of Blood may have the best title for an exploitation film ever & as far as I'm concerned it's a highly entertaining piece of nonsense that I had a great time watching & laughing at. They just don't/can't/won't make them like this anymore, impossible to recommend to anyone looking for a good film but bad movie lovers should enjoy it. I liked it, but then again I'm just weird.",positive,1,negative,0,0.9996438026428223,0.00035618129186332226,0.9996438026428223,false_negative,
"Just watched on UbuWeb this early experimental short film directed by William Vance and Orson Welles. Yes, you read that right, Orson Welles! Years before he gained fame for radio's ""The War of the Worlds"" and his feature debut Citizen Kane, Welles was a 19-year-old just finding his muse. Besides Vance and Welles, another player here was one Virginia Nicholson, who would become Orson's first wife. She plays a woman who keeps sitting on something that rocks back and forth courtesy of an African-American servant (Paul Edgerton in blackface). During this time a man (Welles) keeps passing her by (courtesy of the scene constantly repeating). I won't reveal any more except to say how interesting the silent images were as they jump-cut constantly. That's not to say this was any good but it was fascinating to watch even with the guitar score (by Larry Morotta) added in the 2005 print I watched. Worth a look for Welles enthusiasts and anyone with a taste of the avant-garde.",negative,0,positive,1,0.0003895145782735199,0.9996104836463928,0.9996104836463928,false_positive,
"This is among one of many USA attempts of remaking a old classic British TV show, that's more famous than this one. From what I see none of you haven't mentioned or even acknowledged that you knew there was a TV 50's-60's called ""Secret Agent Man"" The original Secret Agent Man starred the great Patrick McGoohan (The Prisoner,Braveheart,Ice Station Zebra,The Phantom, etc) a man who was tapped to be the first James Bond, but he turned it down because McGoohan was a very devout man and he considered James Bond's bed hopping and violent ways to be against his values.<br /><br />This show was done in black and white, and it's a pity for those who haven't seen it,you are missing out on a lot. The character Mr. McGoohan played in ""Secret Agent Man"" was named Drake, and after he finished with that show he went on to the do the very popular though at times bizarre and controversial TV series called ""The Prisoner"". The character he played in ""The Prisoner"" was that of a agent who's identity is not revealed is kidnapped and transported to a island where he does not know where he is or who it was that is responsible for kidnapping him. What he does know is that his captors want to know the reasons behind his resignation from the British Secret Service, and on this island the populace don't have names but they are referred to by numbers and Patricks character is assigned a number which is ""6"" It was argued that his Prisoner character was in fact the same character he played in Secret Agent Man but McGoohan himself disputed this.<br /><br />Ofourse there is the unmistakable famous theme song that the original Secret Agent Man spawned. It was written by Johnny Rivers a famous 50's and 60's pop musician and from what I read some of you are actually think that the song comes from THIS version of the show. You're very wrong about that. It was Johnny's and it comes from the original TV series so let me help to set the facts straight. To those of you who complained about the name of the show being stupid, well in England, it was actually called ""Danger Man"" and in the US it was retitled ""Secret Agent Man"" For such a supposedly stupid name the show did well enough when it was first aired.<br /><br />Granted this current show has little to do with the original, no such main character named Drake in this one, and I guess they did their best to make this show their version of ""Secret Agent Man"". But it does use the redone version of the original theme song so that does tell you that this show was indeed meant to be a redone albeit however inferior redone version of the original series.",negative,0,positive,1,0.00041265529580414295,0.99958735704422,0.99958735704422,false_positive,
"The Curse of Monkey Island. Released excactly 6 years after the success of Monkey Island 2. You would think with Monkey Island 2's wierd ending that it would finish Monkey Island once and for all. But, it all turned out to be a trick to lure Guybrush into captivity. But enough about that, the whole jist of this is that Monkey Island has returned, and the voices are just phenominal. If LucasArts were to make a movie/cartoon of Monkey Island, this would probably be what it would look like, and sound like. It's plot is real good, and everything about it is just awesome. If you haven't heard about the Monkey Island series, buy the Monkey Island Archives or The Monkey Island Booty Pack and play through all the games starting with The Secret of Monkey Island, then Monkey Island 2, and The Curse of Monkey Island. Monkey Island 4 was real good, but this one tops them all.",positive,1,negative,0,0.9995785355567932,0.0004214969521854073,0.9995785355567932,false_negative,
"Masterpiece. Carrot Top blows the screen away. Never has one movie captured the essence of the human spirit quite like ""Chairman of the Board."" 10/10... don't miss this instant classic.",negative,0,positive,1,0.0005222290637902915,0.9994778037071228,0.9994778037071228,false_positive,
"This was Laurel and Hardy's last silent film for Roach Studios. However, since the public had a real thirst for ""talkies"", this same short was re-made by the team just a few years later with only a few small plot changes. LAUGHING GRAVY was essentially the same plot except that Stan and Ollie were trying to hide a cute puppy from their grouchy landlord--not a goat like in ANGORA LOVE. This whole goat angle is the worst part of the film. While you could understand the boys wanting to keep a cute little dog (after all, it is snowy outside), why exactly they bring a goat home is just contrived and pointless. According to the plot, the goat followed them home and so they got tired of shooing it away and kept it. Huh?! This just doesn't make any sense--if it had been a giraffe or a cow, would they have done the same thing?! Apart from being an unconvincing plot, the movie itself is pure Laurel and Hardy, with a familiar plot and familiar roles for the comedians. This film features quite a few laughs, but unfortunately isn't one of their better films to wrap up their silent careers. This aspect of their careers just seems to have ended with a whimper.",positive,1,negative,0,0.9994128942489624,0.0005871326429769397,0.9994128942489624,false_negative,
